node	expansions	synonyms	usage_notes
si439	agency; cross-cutting Subject Index term related to: Genitive of Agency, Dative of Agency, Passive Constructions	means of action; agent expression	type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si440	direct; cross-cutting Subject Index term related to: Dative Direct Object, Accusative Direct Object, Direct Middle, Direct Object		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si441	instrumental (means); cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.70, syntax:0.56
si442	intermediate; cross-cutting Subject Index term related to: With & Without Agency Expressed: Intermediate Agent		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si443	personal; cross-cutting Subject Index term related to: Personal Pronoun, Personal Pronouns, Regular Uses: For Personal Pronouns, Personal Pronoun in Genitive		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si444	ultimate; cross-cutting Subject Index term related to: With & Without Agency Expressed: Ultimate Agent		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si445	aspect; cross-cutting Subject Index term related to: Present Tense, Imperfect Tense, Aorist Tense, Future Tense	verbal aspect; aktionsart (related)	type=concept; source=subject_index; axis weights: morphology:0.50
si446	aorist; cross-cutting Subject Index term related to: Constative Aorist, Ingressive Aorist, Consummative Aorist, Gnomic Aorist		type=concept; source=subject_index; axis weights: morphology:1.00, discourse:0.70
si447	(in) commands; cross-cutting Subject Index term related to: Commands		type=concept; source=subject_index; axis weights: clause:1.00, syntax:0.80, morphology:0.35
si448	external; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.35
si449	future; cross-cutting Subject Index term related to: Predictive Future, Imperatival Future, Deliberative Future, Gnomic Future		type=concept; source=subject_index; axis weights: morphology:1.00, clause:1.00, syntax:0.80
si450	imperfect; cross-cutting Subject Index term related to: Instantaneous Imperfect, Progressive (Descriptive) Imperfect, Ingressive Imperfect, Iterative Imperfect		type=concept; source=subject_index; axis weights: morphology:1.00
si451	internal; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.35
si452	perfect; cross-cutting Subject Index term related to: Intensive Perfect (Resultative), Extensive Perfect (Consummative), Aoristic (Dramatic, Historical) Perfect, Perfect with Present Force		type=concept; source=subject_index; axis weights: morphology:1.00
si453	perfective-stative; cross-cutting Subject Index term related to: Stative Active, Perfective Present		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
si454	pluperfect; cross-cutting Subject Index term related to: Intensive Pluperfect (Resultative), Extensive Pluperfect (Consummative), Simple Past Pluperfect		type=concept; source=subject_index; axis weights: morphology:1.00
si455	portrayal vs. reality; cross-cutting Subject Index term		type=concept; source=subject_index; axis weights: morphology:0.35
si456	present; cross-cutting Subject Index term related to: Relation of Adjective to Noun When Article is Present, Instantaneous Present, Progressive Present, Extending-From-Past Present		type=concept; source=subject_index; axis weights: morphology:1.00, syntax:0.80
