node	axis	query_terms	weight
si439	morphology	agency; means of action; agent expression	1.00
si439	syntax	agency; means of action; agent expression	0.80
si440	morphology	direct	1.00
si440	syntax	direct	0.80
si441	morphology	instrumental	0.70
si441	syntax	instrumental	0.56
si442	morphology	intermediate	1.00
si442	syntax	intermediate	0.80
si443	morphology	personal	1.00
si443	syntax	personal	0.80
si444	morphology	ultimate	1.00
si444	syntax	ultimate	0.80
si445	morphology	aspect; verbal aspect; aktionsart (related)	0.50
si446	morphology	aorist	1.00
si446	discourse	aorist	0.70
si447	clause	commands	1.00
si447	syntax	commands	0.80
si447	morphology	commands	0.35
si448	morphology	external	0.35
si449	morphology	future	1.00
si449	clause	future	1.00
si449	syntax	future	0.80
si450	morphology	imperfect	1.00
si451	morphology	internal	0.35
si452	morphology	perfect	1.00
si453	morphology	perfective; stative	1.00
si453	syntax	perfective; stative	0.80
si454	morphology	pluperfect	1.00
si455	morphology	portrayal; reality	0.35
si456	morphology	present	1.00
si456	syntax	present	0.80
si457	morphology	progressive	1.00
si457	clause	progressive	1.00
si457	syntax	progressive	0.80
si458	morphology	resultative	0.35
si459	morphology	simple; occurrence	1.00
si459	syntax	simple; occurrence	0.80
si460	morphology	cases; case system; five-case system; eight-case system	0.50
si460	syntax	cases; case system; five-case system; eight-case system	0.40
si461	morphology	five; case; system	1.00
si461	syntax	five; case; system	0.80
si462	morphology	eight; case; system	1.00
si462	syntax	eight; case; system	0.80
si463	morphology	oblique	1.00
si463	syntax	oblique	0.80
si464	morphology	moods; mood system	0.50
si464	syntax	moods; mood system	0.40
si464	clause	moods; mood system	0.30
si465	morphology	questions; interrogatives; question types	1.00
si465	syntax	questions; interrogatives; question types	0.80
si465	clause	questions; interrogatives; question types	0.60
si466	clause	conditional	1.00
si466	discourse	conditional	0.80
si466	morphology	conditional	0.70
si466	syntax	conditional	0.56
si467	morphology	deliberative	1.00
si467	syntax	deliberative	0.80
si467	clause	deliberative	0.60
si468	morphology	direct	1.00
si468	syntax	direct	0.80
si468	clause	direct	0.42
si469	morphology	future; tense	1.00
si469	clause	future; tense	1.00
si469	syntax	future; tense	0.80
si470	morphology	indirect	1.00
si470	syntax	indirect	0.80
si470	discourse	indirect	0.70
si470	clause	indirect	0.60
si471	morphology	indicative	1.00
si471	syntax	indicative	0.80
si471	clause	indicative	0.60
si472	morphology	interrogative	1.00
si472	syntax	interrogative	0.80
si472	clause	interrogative	0.42
